column,is_metadata,n_cases_present,n_cases_total,present_in_all,services_present,fault_types_present,missing_from_cases
adservice_mem,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
adservice_workload,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
cartservice_cpu,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
cartservice_latency-50,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
cartservice_latency-90,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
cartservice_mem,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
cartservice_workload,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
checkoutservice_cpu,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
checkoutservice_latency-50,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
checkoutservice_latency-90,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
checkoutservice_mem,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
checkoutservice_workload,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
currencyservice_cpu,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
currencyservice_latency-50,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
currencyservice_latency-90,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
currencyservice_mem,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
currencyservice_workload,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
emailservice_cpu,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
emailservice_latency-50,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
emailservice_latency-90,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
emailservice_mem,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
emailservice_workload,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
frontend-external_workload,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
frontend_cpu,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
frontend_latency-50,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
frontend_latency-90,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
frontend_mem,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
frontend_workload,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
main_cpu,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
main_mem,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
paymentservice_cpu,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
paymentservice_latency-50,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
paymentservice_latency-90,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
paymentservice_mem,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
paymentservice_workload,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
productcatalogservice_cpu,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
productcatalogservice_latency-50,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
productcatalogservice_latency-90,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
productcatalogservice_mem,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
productcatalogservice_workload,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
recommendationservice_cpu,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
recommendationservice_latency-50,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
recommendationservice_latency-90,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
recommendationservice_mem,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
recommendationservice_workload,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
redis_cpu,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
redis_mem,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
shippingservice_cpu,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
shippingservice_latency-50,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
shippingservice_latency-90,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
shippingservice_mem,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
shippingservice_workload,False,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
time,True,100,100,True,"cartservice,checkoutservice,currencyservice,paymentservice,productcatalogservice","cpu,delay,loss,mem",
