case,service,fault_type,run_id,column,constant_value
checkoutservice_loss/3,checkoutservice,loss,3,adservice_error,0.0
checkoutservice_loss/3,checkoutservice,loss,3,productcatalogservice_error,0.0
checkoutservice_loss/4,checkoutservice,loss,4,adservice_error,0.0
checkoutservice_loss/4,checkoutservice,loss,4,frontend_error,0.0
checkoutservice_loss/4,checkoutservice,loss,4,frontend-external_error,0.0
checkoutservice_loss/4,checkoutservice,loss,4,productcatalogservice_error,0.0
checkoutservice_loss/5,checkoutservice,loss,5,adservice_error,0.0
checkoutservice_loss/5,checkoutservice,loss,5,frontend_error,0.0
checkoutservice_loss/5,checkoutservice,loss,5,productcatalogservice_error,0.0
checkoutservice_mem/1,checkoutservice,mem,1,adservice_error,0.0
checkoutservice_mem/4,checkoutservice,mem,4,adservice_error,0.0
checkoutservice_mem/4,checkoutservice,mem,4,productcatalogservice_error,0.0
checkoutservice_mem/5,checkoutservice,mem,5,adservice_error,0.0
checkoutservice_mem/5,checkoutservice,mem,5,frontend_error,0.0
checkoutservice_mem/5,checkoutservice,mem,5,frontend-external_error,0.0
checkoutservice_mem/5,checkoutservice,mem,5,productcatalogservice_error,0.0
currencyservice_cpu/2,currencyservice,cpu,2,cartservice_error,0.0
currencyservice_cpu/2,currencyservice,cpu,2,frontend-external_error,0.0
currencyservice_cpu/3,currencyservice,cpu,3,frontend_error,0.0
currencyservice_cpu/3,currencyservice,cpu,3,frontend-external_error,0.0
currencyservice_cpu/4,currencyservice,cpu,4,frontend_error,0.0
currencyservice_cpu/4,currencyservice,cpu,4,frontend-external_error,0.0
currencyservice_cpu/5,currencyservice,cpu,5,frontend_error,0.0
currencyservice_cpu/5,currencyservice,cpu,5,frontend-external_error,0.0
currencyservice_delay/1,currencyservice,delay,1,frontend_error,0.0
currencyservice_delay/1,currencyservice,delay,1,frontend-external_error,0.0
currencyservice_delay/2,currencyservice,delay,2,frontend_error,0.0
currencyservice_delay/3,currencyservice,delay,3,adservice_error,0.0
currencyservice_delay/3,currencyservice,delay,3,frontend_error,0.0
currencyservice_delay/3,currencyservice,delay,3,frontend-external_error,0.0
currencyservice_delay/4,currencyservice,delay,4,adservice_error,0.0
currencyservice_delay/4,currencyservice,delay,4,frontend_error,0.0
currencyservice_delay/5,currencyservice,delay,5,frontend_error,0.0
currencyservice_loss/1,currencyservice,loss,1,cartservice_error,0.0
currencyservice_loss/1,currencyservice,loss,1,checkoutservice_error,0.0
currencyservice_loss/1,currencyservice,loss,1,frontend_error,0.0
currencyservice_loss/2,currencyservice,loss,2,adservice_error,0.0
currencyservice_loss/2,currencyservice,loss,2,frontend_error,0.0
currencyservice_loss/2,currencyservice,loss,2,productcatalogservice_error,0.0
currencyservice_loss/3,currencyservice,loss,3,adservice_error,0.0
currencyservice_loss/3,currencyservice,loss,3,frontend_error,0.0
currencyservice_loss/3,currencyservice,loss,3,productcatalogservice_error,0.0
currencyservice_loss/4,currencyservice,loss,4,adservice_error,0.0
currencyservice_loss/4,currencyservice,loss,4,frontend_error,0.0
currencyservice_loss/4,currencyservice,loss,4,frontend-external_error,0.0
currencyservice_loss/4,currencyservice,loss,4,productcatalogservice_error,0.0
currencyservice_loss/5,currencyservice,loss,5,adservice_error,0.0
currencyservice_loss/5,currencyservice,loss,5,frontend_error,0.0
currencyservice_loss/5,currencyservice,loss,5,productcatalogservice_error,0.0
currencyservice_mem/2,currencyservice,mem,2,adservice_error,0.0
currencyservice_mem/2,currencyservice,mem,2,frontend_error,0.0
currencyservice_mem/2,currencyservice,mem,2,frontend-external_error,0.0
currencyservice_mem/5,currencyservice,mem,5,adservice_error,0.0
currencyservice_mem/5,currencyservice,mem,5,frontend_error,0.0
currencyservice_mem/5,currencyservice,mem,5,frontend-external_error,0.0
paymentservice_cpu/1,paymentservice,cpu,1,frontend_error,0.0
paymentservice_cpu/1,paymentservice,cpu,1,frontend-external_error,0.0
paymentservice_cpu/2,paymentservice,cpu,2,frontend_error,0.0
paymentservice_cpu/2,paymentservice,cpu,2,frontend-external_error,0.0
paymentservice_cpu/3,paymentservice,cpu,3,frontend_error,0.0
paymentservice_cpu/4,paymentservice,cpu,4,frontend_error,0.0
paymentservice_cpu/5,paymentservice,cpu,5,frontend_error,0.0
paymentservice_cpu/5,paymentservice,cpu,5,frontend-external_error,0.0
paymentservice_delay/1,paymentservice,delay,1,frontend_error,0.0
paymentservice_delay/2,paymentservice,delay,2,emailservice_mem,42356736.0
paymentservice_delay/2,paymentservice,delay,2,frontend_error,0.0
paymentservice_delay/3,paymentservice,delay,3,frontend_error,0.0
paymentservice_delay/4,paymentservice,delay,4,emailservice_mem,42356736.0
paymentservice_delay/4,paymentservice,delay,4,frontend_error,0.0
paymentservice_delay/5,paymentservice,delay,5,adservice_error,0.0
paymentservice_delay/5,paymentservice,delay,5,frontend_error,0.0
paymentservice_loss/1,paymentservice,loss,1,cartservice_error,0.0
paymentservice_loss/1,paymentservice,loss,1,checkoutservice_error,0.0
paymentservice_loss/1,paymentservice,loss,1,frontend_error,0.0
paymentservice_loss/1,paymentservice,loss,1,frontend-external_error,0.0
paymentservice_loss/2,paymentservice,loss,2,cartservice_error,0.0
paymentservice_loss/2,paymentservice,loss,2,checkoutservice_error,0.0
paymentservice_loss/3,paymentservice,loss,3,cartservice_error,0.0
paymentservice_loss/3,paymentservice,loss,3,checkoutservice_error,0.0
paymentservice_loss/3,paymentservice,loss,3,frontend_error,0.0
paymentservice_loss/3,paymentservice,loss,3,frontend-external_error,0.0
paymentservice_loss/4,paymentservice,loss,4,adservice_error,0.0
paymentservice_loss/4,paymentservice,loss,4,frontend_error,0.0
paymentservice_loss/4,paymentservice,loss,4,frontend-external_error,0.0
paymentservice_loss/4,paymentservice,loss,4,productcatalogservice_error,0.0
paymentservice_loss/5,paymentservice,loss,5,cartservice_error,0.0
paymentservice_loss/5,paymentservice,loss,5,checkoutservice_error,0.0
paymentservice_loss/5,paymentservice,loss,5,frontend_error,0.0
paymentservice_loss/5,paymentservice,loss,5,frontend-external_error,0.0
paymentservice_mem/1,paymentservice,mem,1,frontend_error,0.0
paymentservice_mem/1,paymentservice,mem,1,frontend-external_error,0.0
paymentservice_mem/2,paymentservice,mem,2,frontend_error,0.0
paymentservice_mem/3,paymentservice,mem,3,frontend_error,0.0
paymentservice_mem/3,paymentservice,mem,3,frontend-external_error,0.0
paymentservice_mem/5,paymentservice,mem,5,frontend_error,0.0
paymentservice_mem/5,paymentservice,mem,5,frontend-external_error,0.0
productcatalogservice_cpu/1,productcatalogservice,cpu,1,frontend_error,0.0
productcatalogservice_cpu/2,productcatalogservice,cpu,2,frontend_error,0.0
productcatalogservice_cpu/3,productcatalogservice,cpu,3,frontend_error,0.0
productcatalogservice_cpu/4,productcatalogservice,cpu,4,adservice_error,0.0
productcatalogservice_cpu/4,productcatalogservice,cpu,4,frontend_error,0.0
productcatalogservice_cpu/5,productcatalogservice,cpu,5,frontend_error,0.0
productcatalogservice_delay/1,productcatalogservice,delay,1,emailservice_mem,42356736.0
productcatalogservice_delay/1,productcatalogservice,delay,1,frontend_error,0.0
productcatalogservice_delay/1,productcatalogservice,delay,1,frontend-external_error,0.0
productcatalogservice_delay/2,productcatalogservice,delay,2,adservice_error,0.0
productcatalogservice_delay/2,productcatalogservice,delay,2,frontend_error,0.0
productcatalogservice_delay/3,productcatalogservice,delay,3,adservice_error,0.0
productcatalogservice_delay/3,productcatalogservice,delay,3,frontend_error,0.0
productcatalogservice_delay/4,productcatalogservice,delay,4,frontend_error,0.0
productcatalogservice_delay/5,productcatalogservice,delay,5,emailservice_mem,42094592.0
productcatalogservice_delay/5,productcatalogservice,delay,5,adservice_error,0.0
productcatalogservice_delay/5,productcatalogservice,delay,5,frontend_error,0.0
productcatalogservice_delay/5,productcatalogservice,delay,5,frontend-external_error,0.0
productcatalogservice_loss/1,productcatalogservice,loss,1,adservice_error,0.0
productcatalogservice_loss/1,productcatalogservice,loss,1,frontend_error,0.0
productcatalogservice_loss/1,productcatalogservice,loss,1,productcatalogservice_error,0.0
productcatalogservice_loss/2,productcatalogservice,loss,2,adservice_error,0.0
productcatalogservice_loss/2,productcatalogservice,loss,2,frontend_error,0.0
productcatalogservice_loss/2,productcatalogservice,loss,2,productcatalogservice_error,0.0
productcatalogservice_loss/3,productcatalogservice,loss,3,emailservice_mem,42164224.0
productcatalogservice_loss/3,productcatalogservice,loss,3,adservice_error,0.0
productcatalogservice_loss/3,productcatalogservice,loss,3,frontend_error,0.0
productcatalogservice_loss/3,productcatalogservice,loss,3,productcatalogservice_error,0.0
productcatalogservice_loss/4,productcatalogservice,loss,4,emailservice_mem,42164224.0
productcatalogservice_loss/4,productcatalogservice,loss,4,adservice_error,0.0
productcatalogservice_loss/4,productcatalogservice,loss,4,frontend_error,0.0
productcatalogservice_loss/4,productcatalogservice,loss,4,productcatalogservice_error,0.0
productcatalogservice_loss/5,productcatalogservice,loss,5,adservice_error,0.0
productcatalogservice_loss/5,productcatalogservice,loss,5,frontend_error,0.0
productcatalogservice_loss/5,productcatalogservice,loss,5,frontend-external_error,0.0
productcatalogservice_loss/5,productcatalogservice,loss,5,productcatalogservice_error,0.0
productcatalogservice_mem/1,productcatalogservice,mem,1,emailservice_mem,41287680.0
productcatalogservice_mem/1,productcatalogservice,mem,1,frontend_error,0.0
productcatalogservice_mem/1,productcatalogservice,mem,1,frontend-external_error,0.0
productcatalogservice_mem/2,productcatalogservice,mem,2,frontend_error,0.0
productcatalogservice_mem/3,productcatalogservice,mem,3,frontend_error,0.0
productcatalogservice_mem/3,productcatalogservice,mem,3,frontend-external_error,0.0
productcatalogservice_mem/4,productcatalogservice,mem,4,frontend_error,0.0
productcatalogservice_mem/4,productcatalogservice,mem,4,frontend-external_error,0.0
productcatalogservice_mem/5,productcatalogservice,mem,5,emailservice_mem,41291776.0
productcatalogservice_mem/5,productcatalogservice,mem,5,frontend_error,0.0
